25.Q2.5																				
																				
PmEvent Name	Event Parameter Name	GPB Field Number	PmEventHeader/Payload	Parameter Description	Parameter Type	MANDATORY	DeprecatedSince	ReasonForDeprecation	UNIT	UsedSubrange	SupportedBands	SupportedDeployments	License	LimitationReason	EventParameterStatus	Filters	Filter Description	Filter DeprecatedSince	Filter ReasonForDeprecation	Filter Status
CuCpF1GnbCuConfigurationUpdateAcknowledge	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	asn1	3	Payload	ASN.1-encoded GNB-CU CONFIGURATION UPDATE ACKNOWLEDGE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateAcknowledge	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateFailure	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateFailure	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateFailure	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateFailure	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateFailure	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1GnbCuConfigurationUpdateFailure	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateFailure	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateFailure	asn1	3	Payload	ASN.1-encoded GNB-CU CONFIGURATION UPDATE FAILURE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbCuConfigurationUpdateFailure	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdate	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdate	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdate	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdate	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdate	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdate	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdate	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdate	asn1	3	Payload	ASN.1-encoded GNB-DU CONFIGURATION UPDATE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdate	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	asn1	3	Payload	ASN.1-encoded GNB-DU CONFIGURATION UPDATE ACKNOWLEDGE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdateAcknowledge	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for NR SA Low-Band/Mid-Band	USED					
CuCpF1GnbDuConfigurationUpdateFailure	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateFailure	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateFailure	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateFailure	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateFailure	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1GnbDuConfigurationUpdateFailure	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for all deployments	USED					
CuCpF1GnbDuConfigurationUpdateFailure	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for all deployments	USED					
CuCpF1GnbDuConfigurationUpdateFailure	asn1	3	Payload	ASN.1-encoded GNB-DU CONFIGURATION UPDATE FAILURE message.	Asn1Message	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for all deployments	USED					
CuCpF1GnbDuConfigurationUpdateFailure	gnb_id_length	4	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band, High-band	EN-DC, NR SA, CR EN-DC, CR NR SA	N/A	Not verified for all deployments	USED					
CuCpF1PwsCancelRequest	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1PwsCancelRequest	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1PwsCancelRequest	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1PwsCancelRequest	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1PwsCancelRequest	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1PwsCancelRequest	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelRequest	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelRequest	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelRequest	asn1	4	Payload	ASN.1-encoded FIAP PWS CANCEL REQUEST message.	Asn1Message	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelResponse	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1PwsCancelResponse	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1PwsCancelResponse	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1PwsCancelResponse	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1PwsCancelResponse	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1PwsCancelResponse	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelResponse	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelResponse	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsCancelResponse	asn1	4	Payload	ASN.1-encoded F1AP PWS CANCEL RESPONSE message.	Asn1Message	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsFailureIndication	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1PwsFailureIndication	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1PwsFailureIndication	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1PwsFailureIndication	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1PwsFailureIndication	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
CuCpF1PwsFailureIndication	main_plmn_id	1	Payload	"Main PLMN identifier.

Encoded as an octet string of size 3, following apply:
- Digits 0 to 9, encoded 0000 to 1001.

In each octet, two digits are encoded:
- Bits 4 to 1 of octet n encode digit 2n-1.
- Bits 8 to 5 of octet n encode digit 2n.
- 1111 is used as filler digit.

PLMN identity consists of three digits from MCC succeeded by one of following variations:
- In case of a two-digit MNC, one filler digit plus two digits from MNC.
- In case of a three-digit MNC, three digits from MNC.
"	bytes	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsFailureIndication	gnb_id	2	Payload	The gNodeB identifier.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsFailureIndication	gnb_id_length	3	Payload	Length of gNodeB ID bit string representation.	int64	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsFailureIndication	asn1	4	Payload	ASN.1-encoded FIAP PWS FAILURE INDICATION message.	Asn1Message	Y					Low-band, Mid-band	NR SA, CR NR SA	N/A		USED					
CuCpF1PwsRestartIndication	time_stamp	1	PmEventHeader	Milliseconds since epoch.	int64	Y							N/A		USED					
CuCpF1PwsRestartIndication	system_uuid	2	PmEventHeader	System Universally Unique Identifier.	bytes	Y							N/A		USED					
CuCpF1PwsRestartIndication	compute_name	3	PmEventHeader	Compute name associated with compute resource in ME.	string	Y							N/A		USED					
CuCpF1PwsRestartIndication	network_managed_element	4	PmEventHeader	Network identity of ME.	string	Y							N/A		USED					
CuCpF1PwsRestartIndication	pm_event_job_ids	5	PmEventHeader	Jobs subscribing to event.	repeated <int64>	Y							N/A		USED					
